model,learning_rate,n_estimators,subsample,max_depth,colsample_bytree,fit_time_seconds,accuracy,f1,precision,recall,roc_auc,predict_time_seconds,num_leaves
LightGBM,0.05,600,1.0,,0.8,0.1106528000018443,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9884259259259259,0.002607700000226032,15.0
LightGBM,0.05,600,1.0,,1.0,0.11224460000084946,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9884259259259259,0.002365699998335913,15.0
LightGBM,0.05,600,1.0,,0.8,0.14493490000313614,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9894179894179894,0.0026961000039591454,31.0
LightGBM,0.05,600,1.0,,1.0,0.14213710000331048,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9894179894179894,0.0022881999975652434,31.0
LightGBM,0.05,600,1.0,,0.8,0.14538750000065193,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9894179894179894,0.0025883999987854622,63.0
LightGBM,0.05,600,1.0,,1.0,0.1444262000004528,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9894179894179894,0.002556600004027132,63.0
XGBoost,0.1,100,0.8,3.0,0.8,0.039063500000338536,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9943783068783069,0.0010980000006384216,
XGBoost,0.1,100,0.8,3.0,1.0,0.041408100005355664,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9930555555555556,0.0010623000052873977,
XGBoost,0.1,100,0.8,6.0,0.8,0.0509271000046283,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9950396825396826,0.0010986999986926094,
XGBoost,0.1,100,0.8,6.0,1.0,0.05444310000166297,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9953703703703703,0.001131699995312374,
LightGBM,0.1,100,0.8,,0.8,0.03134710000449559,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9910714285714286,0.002239200002804864,15.0
LightGBM,0.1,100,0.8,,1.0,0.0333669000028749,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.0019162000025971793,15.0
LightGBM,0.1,100,0.8,,0.8,0.045269599999301136,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9914021164021164,0.0022070999984862283,31.0
LightGBM,0.1,100,0.8,,1.0,0.04428770000231452,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.00201309999829391,31.0
LightGBM,0.1,100,0.8,,0.8,0.049719299997377675,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9914021164021164,0.002391199996054638,63.0
LightGBM,0.1,100,0.8,,1.0,0.045797099999617785,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.002235599997220561,63.0
XGBoost,0.1,100,1.0,3.0,0.8,0.03926270000374643,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9947089947089947,0.0011090999978478067,
XGBoost,0.1,100,1.0,3.0,1.0,0.04061899999942398,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9943783068783069,0.0010786999991978519,
XGBoost,0.1,100,1.0,6.0,0.8,0.05432049999944866,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9950396825396826,0.0012083999972674064,
XGBoost,0.1,100,1.0,6.0,1.0,0.06269330000213813,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9923941798941799,0.0012198999975225888,
LightGBM,0.1,100,1.0,,0.8,0.04657900000165682,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9910714285714286,0.002263800000946503,15.0
LightGBM,0.1,100,1.0,,1.0,0.032115000001795124,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.001861500000813976,15.0
LightGBM,0.1,100,1.0,,0.8,0.049489599994558375,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9914021164021164,0.0019572999954107217,31.0
LightGBM,0.1,100,1.0,,1.0,0.046199199998227414,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.0020216999982949346,31.0
LightGBM,0.1,100,1.0,,0.8,0.04777289999765344,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9914021164021164,0.0029347999952733517,63.0
LightGBM,0.1,100,1.0,,1.0,0.04826199999661185,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.002039600003627129,63.0
